Name	Field	N	Type	RA	Dec		
OGLE-LMC-RRLYR-00084	LMC157.1	346	RRab	04:33:11.40	-70:01:15.70		
OGLE-LMC-RRLYR-00086	LMC156.8	4247	RRab	04:33:14.10	-69:24:50.10		
OGLE-LMC-RRLYR-00087	LMC154.6	403	RRab	04:33:16.40	-68:02:35.30		
OGLE-LMC-RRLYR-00088	LMC157.4	455	RRab	04:33:17.81	-69:36:26.40		
OGLE-LMC-RRLYR-00091	LMC157.3	819	RRab	04:33:29.35	-69:49:08.40		
OGLE-LMC-RRLYR-00093	LMC154.7	451	RRab	04:33:33.60	-68:09:58.00		
OGLE-LMC-RRLYR-00094	LMC154.5	452	RRab	04:33:34.69	-67:46:33.90		
OGLE-LMC-RRLYR-00098	LMC155.6	4002	RRab	04:33:44.10	-68:31:18.60		
OGLE-LMC-RRLYR-00099	LMC155.8	3857	RRab	04:33:44.80	-68:51:45.60		
OGLE-LMC-RRLYR-00101	LMC156.4	543	RRab	04:33:46.24	-68:57:58.90		
OGLE-LMC-RRLYR-00102	LMC156.3	508	RRab	04:33:46.31	-69:05:54.60		
OGLE-LMC-RRLYR-00103	LMC157.2	894	RRab	04:33:47.59	-69:57:09.10		
OGLE-LMC-RRLYR-00104	LMC155.8	3981	RRab	04:33:53.52	-68:48:59.70		
OGLE-LMC-RRLYR-00105	LMC156.1	535	RRab	04:33:54.62	-69:26:02.20		
OGLE-LMC-RRLYR-00107	LMC156.3	540	RRab	04:33:57.67	-69:14:55.50		
OGLE-LMC-RRLYR-00108	LMC154.8	544	RRab	04:33:58.08	-68:18:13.50		
OGLE-LMC-RRLYR-00109	LMC155.8	4000	RRab	04:34:01.53	-68:53:33.20		
OGLE-LMC-RRLYR-00110	LMC153.8	363	RRab	04:34:02.40	-67:44:52.20		
OGLE-LMC-RRLYR-00111	LMC154.7	536	RRab	04:34:03.69	-68:10:24.40		
OGLE-LMC-RRLYR-00112	LMC156.2	645	RRab	04:34:05.23	-69:15:42.00		
OGLE-LMC-RRLYR-00113	LMC156.1	566	RRab	04:34:05.32	-69:24:54.20		
OGLE-LMC-RRLYR-00114	LMC155.7	4021	RRab	04:34:07.20	-68:48:19.20		
OGLE-LMC-RRLYR-00115	LMC156.4	606	RRab	04:34:11.76	-68:59:02.30		
OGLE-LMC-RRLYR-00116	LMC157.3	3211	RRab	04:34:14.74	-69:47:06.80		
OGLE-LMC-RRLYR-00118	LMC157.2	3390	RRab	04:34:19.00	-69:50:47.40		
OGLE-LMC-RRLYR-00120	LMC154.5	3560	RRab	04:34:25.06	-67:47:33.30		
OGLE-LMC-RRLYR-00121	LMC156.3	624	RRab	04:34:25.07	-69:08:06.90		
OGLE-LMC-RRLYR-00122	LMC151.7	510	RRab	04:34:25.33	-70:28:40.80		
OGLE-LMC-RRLYR-00123	LMC154.6	4043	RRab	04:34:27.06	-67:59:38.80		
OGLE-LMC-RRLYR-00124	LMC157.3	3260	RRab	04:34:27.73	-69:44:23.40		
OGLE-LMC-RRLYR-00125	LMC153.7	401	RRab	04:34:28.00	-67:33:52.60		
OGLE-LMC-RRLYR-00129	LMC155.5	3566	RRab	04:34:34.74	-68:27:21.70		
OGLE-LMC-RRLYR-00130	LMC154.7	3767	RRab	04:34:36.23	-68:04:27.40		
OGLE-LMC-RRLYR-00131	LMC157.1	3518	RRab	04:34:38.81	-70:01:15.70		
OGLE-LMC-RRLYR-00132	LMC156.4	688	RRab	04:34:38.90	-69:03:29.40		
OGLE-LMC-RRLYR-00133	LMC157.3	3313	RRab	04:34:39.38	-69:47:35.60		
OGLE-LMC-RRLYR-00137	LMC156.3	677	RRab	04:34:45.91	-69:14:36.90		
OGLE-LMC-RRLYR-00138	LMC153.6	399	RRab	04:34:45.95	-67:21:05.20		
OGLE-LMC-RRLYR-00139	LMC157.3	3349	RRab	04:34:46.46	-69:43:51.80		
OGLE-LMC-RRLYR-00142	LMC156.4	715	RRab	04:34:48.30	-68:57:18.50		
OGLE-LMC-RRLYR-00144	LMC156.1	679	RRab	04:34:50.64	-69:31:19.50		
OGLE-LMC-RRLYR-00145	LMC157.1	3571	RRab	04:34:53.62	-70:06:38.20		
OGLE-LMC-RRLYR-00146	LMC156.2	817	RRab	04:34:56.88	-69:22:00.40		
OGLE-LMC-RRLYR-00147	LMC153.7	456	RRab	04:34:57.78	-67:37:04.80		
OGLE-LMC-RRLYR-00148	LMC151.6	590	RRab	04:34:58.42	-70:21:07.40		
OGLE-LMC-RRLYR-00149	LMC154.8	3997	RRab	04:34:58.77	-68:19:24.40		
OGLE-LMC-RRLYR-00151	LMC153.5	802	RRab	04:35:00.91	-67:15:17.80		
OGLE-LMC-RRLYR-00152	LMC151.8	522	RRab	04:35:01.28	-70:35:47.20		
OGLE-LMC-RRLYR-00153	LMC151.5	588	RRab	04:35:03.80	-70:15:02.80		
OGLE-LMC-RRLYR-00154	LMC155.3	562	RRab	04:35:06.16	-68:31:21.90		
OGLE-LMC-RRLYR-00155	LMC157.4	3660	RRab	04:35:06.69	-69:37:59.40		
OGLE-LMC-RRLYR-00156	LMC153.5	432	RRab	04:35:06.70	-67:16:15.50		
OGLE-LMC-RRLYR-00157	LMC156.2	850	RRab	04:35:07.14	-69:16:44.40		
OGLE-LMC-RRLYR-00158	LMC151.8	547	RRab	04:35:08.03	-70:41:16.80		
OGLE-LMC-RRLYR-00159	LMC157.1	3622	RRab	04:35:09.39	-70:04:51.50		
OGLE-LMC-RRLYR-00161	LMC153.5	445	RRab	04:35:12.42	-67:11:04.70		
OGLE-LMC-RRLYR-00162	LMC155.2	542	RRab	04:35:13.34	-68:42:07.80		
OGLE-LMC-RRLYR-00163	LMC151.5	620	RRab	04:35:13.54	-70:09:30.80		
OGLE-LMC-RRLYR-00165	LMC157.3	3950	RRab	04:35:15.83	-69:45:21.90		
OGLE-LMC-RRLYR-00167	LMC156.1	5350	RRab	04:35:17.25	-69:26:33.50		
OGLE-LMC-RRLYR-00168	LMC154.8	4043	RRab	04:35:19.72	-68:14:59.70		
OGLE-LMC-RRLYR-00169	LMC154.8	4057	RRab	04:35:22.87	-68:18:40.90		
OGLE-LMC-RRLYR-00170	LMC155.3	616	RRab	04:35:22.99	-68:35:22.80		
OGLE-LMC-RRLYR-00171	LMC157.4	3747	RRab	04:35:25.09	-69:38:42.50		
OGLE-LMC-RRLYR-00174	LMC156.2	6061	RRab	04:35:30.01	-69:20:33.80		
OGLE-LMC-RRLYR-00175	LMC157.1	3819	RRab	04:35:30.16	-70:07:36.00		
OGLE-LMC-RRLYR-00176	LMC156.1	5390	RRab	04:35:31.62	-69:24:07.20		
OGLE-LMC-RRLYR-00177	LMC154.7	3675	RRab	04:35:33.16	-68:12:25.80		
OGLE-LMC-RRLYR-00178	LMC151.6	681	RRab	04:35:34.58	-70:22:41.80		
OGLE-LMC-RRLYR-00179	LMC155.1	627	RRab	04:35:37.02	-68:54:22.80		
OGLE-LMC-RRLYR-00180	LMC156.3	5380	RRab	04:35:37.22	-69:12:14.80		
OGLE-LMC-RRLYR-00182	LMC156.4	5349	RRab	04:35:41.19	-69:04:54.90		
OGLE-LMC-RRLYR-00185	LMC151.6	711	RRab	04:35:43.04	-70:21:22.00		
OGLE-LMC-RRLYR-00186	LMC151.8	660	RRab	04:35:45.45	-70:37:50.20		
OGLE-LMC-RRLYR-00187	LMC157.4	4290	RRab	04:35:46.01	-69:38:31.70		
OGLE-LMC-RRLYR-00188	LMC156.4	5378	RRab	04:35:46.81	-69:00:21.90		
OGLE-LMC-RRLYR-00189	LMC154.6	4217	RRab	04:35:49.76	-67:58:50.80		
OGLE-LMC-RRLYR-00191	LMC155.1	668	RRab	04:35:51.56	-68:55:19.40		
OGLE-LMC-RRLYR-00192	LMC157.2	4197	RRab	04:35:51.86	-69:53:37.50		
OGLE-LMC-RRLYR-00193	LMC154.5	3757	RRab	04:35:51.87	-67:48:07.10		
OGLE-LMC-RRLYR-00194	LMC153.6	3302	RRab	04:35:51.95	-67:23:52.90		
OGLE-LMC-RRLYR-00195	LMC152.8	345	RRab	04:35:52.10	-67:03:52.20		
OGLE-LMC-RRLYR-00198	LMC150.6	535	RRab	04:35:53.58	-69:42:44.10		
OGLE-LMC-RRLYR-00199	LMC156.3	5444	RRab	04:35:53.70	-69:06:49.10		
OGLE-LMC-RRLYR-00203	LMC152.6	401	RRab	04:36:00.05	-66:44:49.50		
OGLE-LMC-RRLYR-00206	LMC153.6	3325	RRab	04:36:02.30	-67:22:50.10		
OGLE-LMC-RRLYR-00208	LMC151.5	810	RRab	04:36:03.48	-70:09:06.70		
OGLE-LMC-RRLYR-00209	LMC156.4	5436	RRab	04:36:04.95	-68:57:44.90		
OGLE-LMC-RRLYR-00210	LMC156.4	5449	RRab	04:36:08.98	-69:01:18.40		
OGLE-LMC-RRLYR-00211	LMC151.8	4681	RRab	04:36:09.22	-70:43:47.20		
OGLE-LMC-RRLYR-00212	LMC151.8	4682	RRab	04:36:09.26	-70:43:02.80		
OGLE-LMC-RRLYR-00214	LMC154.2	507	RRab	04:36:12.56	-68:11:07.50		
OGLE-LMC-RRLYR-00215	LMC154.4	446	RRab	04:36:12.87	-67:52:30.40		
OGLE-LMC-RRLYR-00216	LMC155.3	776	RRab	04:36:13.83	-68:35:36.10		
OGLE-LMC-RRLYR-00217	LMC155.4	716	RRab	04:36:14.01	-68:22:38.10		
OGLE-LMC-RRLYR-00219	LMC156.1	5539	RRab	04:36:14.82	-69:28:47.30		
OGLE-LMC-RRLYR-00220	LMC154.4	461	RRab	04:36:17.19	-67:52:52.80		
OGLE-LMC-RRLYR-00221	LMC155.3	793	RRab	04:36:17.22	-68:31:49.30		
OGLE-LMC-RRLYR-00222	LMC156.3	5533	RRab	04:36:17.28	-69:09:27.50		
OGLE-LMC-RRLYR-00223	LMC152.5	384	RRab	04:36:18.17	-66:38:31.30		
OGLE-LMC-RRLYR-00224	LMC154.3	456	RRab	04:36:19.63	-68:00:34.30		
