Name	Field	N	Type	RA	Dec		
OGLE-LMC-RRLYR-03585	LMC120.6	37780	RRab	05:02:25.63	-69:41:19.60	10.3558.488	
OGLE-LMC-RRLYR-03586	LMC120.6	1067	RRab	05:02:25.70	-69:49:04.80	10.3556.924	
OGLE-LMC-RRLYR-03587	LMC120.6	37785	RRab	05:02:25.80	-69:43:01.00		
OGLE-LMC-RRLYR-03589	LMC126.1	20516	RRab	05:02:26.52	-68:53:01.10	LMC_SC15_208481	1.3570.1180
OGLE-LMC-RRLYR-03590	LMC122.7	2163	RRab	05:02:27.38	-71:06:02.30		
OGLE-LMC-RRLYR-03591	LMC125.3	36027	RRab	05:02:27.40	-67:56:33.40	24.3584.655	
OGLE-LMC-RRLYR-03592	LMC121.8	718	RRab	05:02:27.62	-70:40:17.40	23.3543.188	
OGLE-LMC-RRLYR-03593	LMC120.5	1169	RRab	05:02:27.97	-69:38:17.40	10.3558.889	
OGLE-LMC-RRLYR-03594	LMC122.5	2831	RRab	05:02:28.03	-70:46:14.10	23.3541.451	
OGLE-LMC-RRLYR-03596	LMC120.8	953	RRab	05:02:28.32	-70:04:46.10	10.3552.1008	
OGLE-LMC-RRLYR-03597	LMC121.6	28978	RRab	05:02:28.33	-70:16:58.50	23.3549.1511	
OGLE-LMC-RRLYR-03599	LMC123.1	2407	RRab	05:02:28.73	-67:08:59.40		
OGLE-LMC-RRLYR-03600	LMC128.4	55408	RRab	05:02:28.80	-69:36:00.00	10.3559.1019	
OGLE-LMC-RRLYR-03601	LMC122.8	2046	RRab	05:02:29.16	-71:10:39.80		
OGLE-LMC-RRLYR-03602	LMC123.3	2316	RRab	05:02:29.31	-66:44:29.60	53.3602.554	
OGLE-LMC-RRLYR-03603	LMC121.8	21640	RRab	05:02:29.39	-70:37:57.50		
OGLE-LMC-RRLYR-03604	LMC125.3	36047	RRab	05:02:29.50	-67:55:43.30		
OGLE-LMC-RRLYR-03606	LMC120.6	1112	RRab	05:02:29.67	-69:48:16.10	10.3556.872	
OGLE-LMC-RRLYR-03607	LMC122.8	2050	RRab	05:02:29.74	-71:17:53.40		
OGLE-LMC-RRLYR-03609	LMC126.2	20777	RRab	05:02:30.11	-68:44:48.00	LMC_SC15_215934	1.3572.488
OGLE-LMC-RRLYR-03610	LMC125.3	36051	RRab	05:02:30.66	-67:58:49.40	19.3583.325	
OGLE-LMC-RRLYR-03611	LMC126.2	20782	RRab	05:02:30.78	-68:47:27.40	LMC_SC15_212860	1.3571.1343
OGLE-LMC-RRLYR-03613	LMC126.4	17744	RRab	05:02:31.81	-68:27:48.30	19.3576.568	
OGLE-LMC-RRLYR-03614	LMC126.3	51992	RRab	05:02:32.29	-68:34:10.50		
OGLE-LMC-RRLYR-03615	LMC124.3	5558	RRab	05:02:32.38	-67:27:55.40		
OGLE-LMC-RRLYR-03619	LMC125.1	13396	RRab	05:02:33.44	-68:19:49.00		
OGLE-LMC-RRLYR-03621	LMC127.1	56623	RRab	05:02:33.70	-69:26:29.10	LMC_SC14_4421	
OGLE-LMC-RRLYR-03622	LMC127.3	33623	RRab	05:02:33.78	-69:13:47.20	LMC_SC14_20655	1.3564.1324
OGLE-LMC-RRLYR-03623	LMC120.7	35413	RRab	05:02:34.30	-69:52:08.90	10.3555.865	
OGLE-LMC-RRLYR-03624	LMC120.5	1246	RRab	05:02:34.32	-69:38:58.30	10.3558.744	
OGLE-LMC-RRLYR-03625	LMC127.3	74093	RRab	05:02:34.33	-69:07:55.70	LMC_SC14_30023	1.3566.1773
OGLE-LMC-RRLYR-03626	LMC121.6	35329	RRab	05:02:35.00	-70:20:41.40		
OGLE-LMC-RRLYR-03627	LMC127.2	29661	RRab	05:02:35.44	-69:21:12.50	LMC_SC14_12267	
OGLE-LMC-RRLYR-03628	LMC122.7	2242	RRab	05:02:35.58	-71:04:32.90		
OGLE-LMC-RRLYR-03629	LMC123.4	2309	RRab	05:02:36.34	-66:43:25.50	53.3602.611	
OGLE-LMC-RRLYR-03630	LMC125.2	37006	RRab	05:02:36.49	-68:07:05.70	19.3581.389	
OGLE-LMC-RRLYR-03632	LMC121.6	35353	RRab	05:02:37.27	-70:20:36.50		
OGLE-LMC-RRLYR-03633	LMC120.6	180	RRab	05:02:37.37	-69:49:28.40		
OGLE-LMC-RRLYR-03636	LMC121.6	35361	RRab	05:02:38.63	-70:17:19.70		
OGLE-LMC-RRLYR-03639	LMC125.1	36315	RRab	05:02:39.46	-68:13:32.60		
OGLE-LMC-RRLYR-03641	LMC127.3	74207	RRab	05:02:39.62	-69:06:25.20	LMC_SC14_30422	
OGLE-LMC-RRLYR-03643	LMC127.4	35216	RRab	05:02:39.83	-69:01:41.60	LMC_SC14_35144	1.3567.2570
OGLE-LMC-RRLYR-03645	LMC120.6	37956	RRab	05:02:40.18	-69:41:29.90	10.3558.1035	
OGLE-LMC-RRLYR-03646	LMC124.3	28839	RRab	05:02:40.33	-67:20:22.90		
OGLE-LMC-RRLYR-03647	LMC125.3	36121	RRab	05:02:40.36	-67:58:20.20	19.3583.351	
OGLE-LMC-RRLYR-03648	LMC125.3	36127	RRab	05:02:40.39	-67:55:17.20	24.3584.618	
OGLE-LMC-RRLYR-03649	LMC127.2	68061	RRab	05:02:40.41	-69:15:58.40	LMC_SC14_16844	
OGLE-LMC-RRLYR-03650	LMC121.7	30810	RRab	05:02:40.47	-70:27:03.70		
OGLE-LMC-RRLYR-03651	LMC127.1	24165	RRab	05:02:40.67	-69:30:06.50	LMC_SC14_857	
OGLE-LMC-RRLYR-03653	LMC127.3	74222	RRab	05:02:40.83	-69:09:15.40	LMC_SC14_26140	1.3566.1641
OGLE-LMC-RRLYR-03654	LMC123.4	2387	RRab	05:02:41.69	-66:34:47.20	53.3604.466	
OGLE-LMC-RRLYR-03655	LMC120.7	1197	RRab	05:02:41.73	-69:57:37.80	10.3554.878	
OGLE-LMC-RRLYR-03656	LMC120.6	37971	RRab	05:02:41.93	-69:42:03.80	10.3557.1080	
OGLE-LMC-RRLYR-03657	LMC127.3	74251	RRab	05:02:41.94	-69:08:29.40	LMC_SC14_25377	1.3566.826
OGLE-LMC-RRLYR-03659	LMC121.7	6093	RRab	05:02:42.23	-70:33:02.10		
OGLE-LMC-RRLYR-03660	LMC121.8	4820	RRab	05:02:42.27	-70:43:07.70		
OGLE-LMC-RRLYR-03662	LMC122.5	2984	RRab	05:02:42.57	-70:48:44.60	23.3541.1648	
OGLE-LMC-RRLYR-03663	LMC120.6	37983	RRab	05:02:42.66	-69:42:46.50	10.3557.963	
OGLE-LMC-RRLYR-03666	LMC122.5	2985	RRab	05:02:43.04	-70:43:29.00	23.3542.1690	
OGLE-LMC-RRLYR-03667	LMC122.7	2299	RRab	05:02:43.22	-71:02:42.60		
OGLE-LMC-RRLYR-03668	LMC126.1	69877	RRab	05:02:43.41	-68:50:52.80		
OGLE-LMC-RRLYR-03670	LMC119.6	1498	RRab	05:02:43.70	-69:13:48.10	LMC_SC14_21461	
OGLE-LMC-RRLYR-03671	LMC122.6	2793	RRab	05:02:43.88	-71:00:37.50		
OGLE-LMC-RRLYR-03673	LMC119.8	1210	RRab	05:02:44.49	-69:30:28.90	LMC_SC14_1532	
OGLE-LMC-RRLYR-03677	LMC127.1	56873	RRab	05:02:46.19	-69:28:07.70	LMC_SC14_4831	
OGLE-LMC-RRLYR-03678	LMC125.2	37102	RRab	05:02:46.30	-68:04:49.70	19.3582.443	
OGLE-LMC-RRLYR-03679	LMC120.6	1294	RRab	05:02:46.48	-69:47:22.80	10.3556.746	
OGLE-LMC-RRLYR-03680	LMC120.7	35537	RRab	05:02:46.63	-69:51:16.60	10.3555.819	
OGLE-LMC-RRLYR-03681	LMC127.3	33863	RRab	05:02:46.83	-69:14:01.30	LMC_SC14_20607	1.3564.1177
OGLE-LMC-RRLYR-03682	LMC120.6	690	RRab	05:02:47.16	-69:46:58.90		
OGLE-LMC-RRLYR-03683	LMC120.7	35550	RRab	05:02:47.33	-69:53:02.40	10.3555.531	
OGLE-LMC-RRLYR-03684	LMC127.3	33889	RRab	05:02:48.03	-69:13:49.20	LMC_SC14_20651	
OGLE-LMC-RRLYR-03685	LMC127.1	24308	RRab	05:02:48.47	-69:29:48.10	LMC_SC14_907	
OGLE-LMC-RRLYR-03688	LMC125.3	36188	RRab	05:02:49.14	-67:56:16.10		
OGLE-LMC-RRLYR-03689	LMC123.2	2591	RRab	05:02:49.15	-66:55:50.30	53.3720.547	
OGLE-LMC-RRLYR-03691	LMC125.2	37129	RRab	05:02:49.45	-68:06:56.70	19.3702.717	
OGLE-LMC-RRLYR-03692	LMC119.7	1643	RRab	05:02:49.81	-69:20:10.20	LMC_SC14_12496	1.3684.1325
OGLE-LMC-RRLYR-03693	LMC121.6	6987	RRab	05:02:50.02	-70:21:42.70	23.3668.565	
OGLE-LMC-RRLYR-03694	LMC120.5	1432	RRab	05:02:50.17	-69:38:00.80	10.3679.908	
OGLE-LMC-RRLYR-03698	LMC126.2	30250	RRab	05:02:51.01	-68:44:02.20	LMC_SC14_55227	
OGLE-LMC-RRLYR-03699	LMC124.3	10467	RRab	05:02:51.50	-67:25:01.50		
OGLE-LMC-RRLYR-03700	LMC121.5	7847	RRab	05:02:51.51	-70:12:22.40	10.3671.837	
OGLE-LMC-RRLYR-03701	LMC120.7	35603	RRab	05:02:51.76	-69:53:38.30	10.3676.769	
OGLE-LMC-RRLYR-03702	LMC120.7	1297	RRab	05:02:51.93	-69:55:36.20	10.3675.1014	
OGLE-LMC-RRLYR-03703	LMC125.4	34057	RRab	05:02:52.39	-67:47:34.70	24.3707.557	
OGLE-LMC-RRLYR-03704	LMC126.1	30069	RRab	05:02:52.48	-68:55:06.00	LMC_SC14_44123	1.3690.1552
OGLE-LMC-RRLYR-03705	LMC123.1	2712	RRab	05:02:52.85	-67:07:21.80		
OGLE-LMC-RRLYR-03709	LMC121.5	7871	RRab	05:02:53.94	-70:14:45.40	10.3670.317	
OGLE-LMC-RRLYR-03710	LMC124.1	28694	RRab	05:02:54.34	-67:39:21.00		
OGLE-LMC-RRLYR-03711	LMC126.3	59524	RRab	05:02:54.40	-68:33:42.70	19.3695.1071	
OGLE-LMC-RRLYR-03712	LMC120.6	1382	RRab	05:02:54.47	-69:49:30.60	10.3677.631	
OGLE-LMC-RRLYR-03713	LMC123.2	17572	RRab	05:02:54.64	-66:54:28.30		
OGLE-LMC-RRLYR-03714	LMC126.2	30315	RRab	05:02:54.71	-68:46:06.50	LMC_SC14_55547	1.3692.906
OGLE-LMC-RRLYR-03715	LMC121.8	4902	RRab	05:02:55.24	-70:43:15.50	23.3663.458	
OGLE-LMC-RRLYR-03716	LMC125.1	13001	RRab	05:02:55.78	-68:21:48.20		
OGLE-LMC-RRLYR-03717	LMC123.3	17135	RRab	05:02:55.86	-66:50:22.40	53.3721.306	
OGLE-LMC-RRLYR-03720	LMC125.1	36509	RRab	05:02:56.63	-68:15:38.80	24.3700.3622	
OGLE-LMC-RRLYR-03721	LMC119.5	54865	RRab	05:02:57.05	-68:58:49.30	LMC_SC14_37870	
OGLE-LMC-RRLYR-03723	LMC123.1	17631	RRab	05:02:57.17	-67:09:35.20		
OGLE-LMC-RRLYR-03725	LMC122.8	2584	RRab	05:02:57.25	-71:16:23.30		
OGLE-LMC-RRLYR-03726	LMC125.1	13018	RRab	05:02:57.47	-68:20:13.70	19.3699.1038	
OGLE-LMC-RRLYR-03727	LMC125.1	36524	RRab	05:02:57.57	-68:14:26.10		
OGLE-LMC-RRLYR-03729	LMC120.6	38174	RRab	05:02:57.85	-69:43:19.80	10.3678.1079	
OGLE-LMC-RRLYR-03730	LMC126.3	27000	RRab	05:02:58.40	-68:38:29.90	LMC_SC14_61901	19.3694.948
OGLE-LMC-RRLYR-03731	LMC120.6	38186	RRab	05:02:58.47	-69:44:28.60	10.3678.867	
OGLE-LMC-RRLYR-03734	LMC120.5	43712	RRab	05:02:59.11	-69:33:28.50	10.3681.385	
OGLE-LMC-RRLYR-03735	LMC125.2	37203	RRab	05:02:59.39	-68:08:18.00	19.3702.428	
OGLE-LMC-RRLYR-03736	LMC121.7	6223	RRab	05:02:59.53	-70:31:53.10	23.3666.617	
OGLE-LMC-RRLYR-03737	LMC124.4	9506	RRab	05:02:59.61	-67:15:48.50		
OGLE-LMC-RRLYR-03740	LMC124.4	27783	RRab	05:02:59.99	-67:11:58.40		
OGLE-LMC-RRLYR-03741	LMC120.5	1562	RRab	05:03:00.67	-69:37:27.90	10.3680.906	
OGLE-LMC-RRLYR-03743	LMC126.4	56308	RRab	05:03:00.97	-68:23:52.20	19.3698.859	
OGLE-LMC-RRLYR-03744	LMC120.5	1579	RRab	05:03:01.11	-69:40:47.00	10.3679.1183	
OGLE-LMC-RRLYR-03745	LMC122.7	16446	RRab	05:03:01.27	-71:03:50.10		
OGLE-LMC-RRLYR-03746	LMC126.2	30443	RRab	05:03:01.38	-68:44:32.50	LMC_SC14_55169	
OGLE-LMC-RRLYR-03747	LMC124.3	10560	RRab	05:03:01.42	-67:28:09.30		
OGLE-LMC-RRLYR-03748	LMC125.4	38981	RRab	05:03:01.59	-67:48:02.80	24.3707.531	
OGLE-LMC-RRLYR-03750	LMC120.5	1581	RRab	05:03:01.67	-69:37:20.60	10.3680.991	
OGLE-LMC-RRLYR-03752	LMC122.7	16454	RRab	05:03:01.91	-71:04:39.30		
OGLE-LMC-RRLYR-03754	LMC121.8	26618	RRab	05:03:02.16	-70:35:21.90		
OGLE-LMC-RRLYR-03755	LMC125.3	41564	RRab	05:03:02.17	-67:57:36.10	19.3705.63	
OGLE-LMC-RRLYR-03756	LMC119.5	55978	RRab	05:03:02.28	-68:58:21.10	LMC_SC14_39729	1.3689.1497
OGLE-LMC-RRLYR-03757	LMC123.4	15811	RRab	05:03:02.54	-66:35:40.60	53.3725.435	
OGLE-LMC-RRLYR-03758	LMC122.8	14558	RRab	05:03:03.07	-71:18:12.30		
OGLE-LMC-RRLYR-03759	LMC119.8	1476	RRab	05:03:03.35	-69:30:40.00	LMC_SC14_773	
OGLE-LMC-RRLYR-03761	LMC121.5	7966	RRab	05:03:03.85	-70:13:25.10	10.3671.650	
OGLE-LMC-RRLYR-03762	LMC119.6	55439	RRab	05:03:03.89	-69:06:31.10	LMC_SC14_30386	
OGLE-LMC-RRLYR-03765	LMC121.5	37248	RRab	05:03:04.08	-70:11:20.80	10.3671.762	
OGLE-LMC-RRLYR-03766	LMC123.1	17728	RRab	05:03:04.08	-67:04:15.10		
OGLE-LMC-RRLYR-03767	LMC122.8	14578	RRab	05:03:04.46	-71:13:30.90		
OGLE-LMC-RRLYR-03769	LMC124.3	10589	RRab	05:03:05.49	-67:24:18.40		
OGLE-LMC-RRLYR-03770	LMC122.7	16490	RRab	05:03:05.54	-71:06:32.70		
OGLE-LMC-RRLYR-03772	LMC120.8	39008	RRab	05:03:06.05	-70:00:07.20	10.3674.896	
OGLE-LMC-RRLYR-03773	LMC121.6	35655	RRab	05:03:06.21	-70:20:54.40		
OGLE-LMC-RRLYR-03774	LMC124.4	27310	RRab	05:03:06.62	-67:14:28.60		
OGLE-LMC-RRLYR-03775	LMC122.7	16495	RRab	05:03:06.70	-71:02:31.30		
OGLE-LMC-RRLYR-03776	LMC125.3	18711	RRab	05:03:06.80	-68:03:05.50	19.3703.734	
OGLE-LMC-RRLYR-03778	LMC119.5	2119	RRab	05:03:07.40	-69:04:15.20	LMC_SC14_33504	1.3688.2250
OGLE-LMC-RRLYR-03779	LMC122.5	21454	RRab	05:03:07.54	-70:46:05.00	23.3662.453	
OGLE-LMC-RRLYR-03780	LMC120.7	43509	RRab	05:03:07.64	-69:54:49.80	10.3675.799	
OGLE-LMC-RRLYR-03781	LMC121.6	7138	RRab	05:03:07.95	-70:24:46.00	23.3668.784	
OGLE-LMC-RRLYR-03782	LMC123.3	17264	RRab	05:03:07.95	-66:50:00.10		
OGLE-LMC-RRLYR-03783	LMC118.6	981	RRab	05:03:08.20	-68:36:02.70	19.3695.1376	
OGLE-LMC-RRLYR-03784	LMC120.5	10509	RRab	05:03:08.31	-69:38:16.50	10.3679.1077	
OGLE-LMC-RRLYR-03785	LMC119.8	1543	RRab	05:03:08.79	-69:30:23.40	LMC_SC14_65104	
OGLE-LMC-RRLYR-03786	LMC125.2	18802	RRab	05:03:09.17	-68:11:50.60	19.3701.599	
OGLE-LMC-RRLYR-03787	LMC118.5	732	RRab	05:03:09.39	-68:27:22.40	19.3697.996	
OGLE-LMC-RRLYR-03788	LMC119.6	58693	RRab	05:03:09.71	-69:08:48.70	LMC_SC14_92044	
OGLE-LMC-RRLYR-03789	LMC118.7	48281	RRab	05:03:10.14	-68:43:01.30	LMC_SC14_58908	
OGLE-LMC-RRLYR-03791	LMC121.5	37310	RRab	05:03:10.54	-70:11:44.00	10.3671.486	
OGLE-LMC-RRLYR-03793	LMC121.6	35699	RRab	05:03:11.03	-70:17:40.90	23.3669.788	
OGLE-LMC-RRLYR-03794	LMC126.1	30471	RRab	05:03:11.08	-68:54:37.20	LMC_SC14_106382	1.3690.1320
OGLE-LMC-RRLYR-03795	LMC120.7	9223	RRab	05:03:11.09	-69:55:08.00	10.3675.593	
OGLE-LMC-RRLYR-03798	LMC122.5	21517	RRab	05:03:12.35	-70:50:32.70	23.3661.276	
OGLE-LMC-RRLYR-03799	LMC125.1	41906	RRab	05:03:12.45	-68:13:57.20	19.3700.768	
OGLE-LMC-RRLYR-03800	LMC122.5	21526	RRab	05:03:12.87	-70:48:42.70	23.3662.376	
OGLE-LMC-RRLYR-03804	LMC126.1	30541	RRab	05:03:13.57	-68:54:41.80	LMC_SC14_106359	
OGLE-LMC-RRLYR-03807	LMC119.6	56161	RRab	05:03:14.19	-69:09:12.00	LMC_SC14_90403	
OGLE-LMC-RRLYR-03808	LMC123.2	17809	RRab	05:03:14.33	-67:01:07.80		
OGLE-LMC-RRLYR-03809	LMC124.2	10930	RRab	05:03:14.33	-67:36:25.60	24.3710.257	
OGLE-LMC-RRLYR-03810	LMC118.6	1076	RRab	05:03:14.42	-68:36:48.80	LMC_SC14_125446	19.3695.1090
OGLE-LMC-RRLYR-03811	LMC125.3	18779	RRab	05:03:14.86	-68:02:56.80	19.3703.637	
OGLE-LMC-RRLYR-03812	LMC124.4	9599	RRab	05:03:14.92	-67:16:14.20		
OGLE-LMC-RRLYR-03813	LMC121.6	36802	RRab	05:03:14.99	-70:19:12.10		
OGLE-LMC-RRLYR-03814	LMC119.7	60	RRab	05:03:15.71	-69:21:25.40		
OGLE-LMC-RRLYR-03815	LMC125.1	42599	RRab	05:03:15.78	-68:13:21.80	24.3701.3608	
OGLE-LMC-RRLYR-03816	LMC120.8	39120	RRab	05:03:16.98	-70:00:52.30	10.3674.797	
OGLE-LMC-RRLYR-03817	LMC120.7	43609	RRab	05:03:17.06	-69:53:15.10	10.3676.782	
OGLE-LMC-RRLYR-03818	LMC119.7	2159	RRab	05:03:17.31	-69:24:04.90	LMC_SC14_73155	1.3683.1670
OGLE-LMC-RRLYR-03819	LMC119.7	56570	RRab	05:03:17.55	-69:15:54.00	LMC_SC14_81168	1.3685.1373
OGLE-LMC-RRLYR-03820	LMC119.5	56275	RRab	05:03:17.60	-68:58:50.90	LMC_SC14_102734	
OGLE-LMC-RRLYR-03821	LMC120.5	52631	RRab	05:03:17.91	-69:35:14.10		
OGLE-LMC-RRLYR-03823	LMC118.6	1136	RRab	05:03:18.41	-68:35:16.10		
OGLE-LMC-RRLYR-03824	LMC125.1	18473	RRab	05:03:18.59	-68:21:03.70	19.3699.1013	
OGLE-LMC-RRLYR-03825	LMC119.6	56242	RRab	05:03:18.76	-69:06:13.20	LMC_SC14_94235	1.3687.1638
OGLE-LMC-RRLYR-03826	LMC119.7	2184	RRab	05:03:18.89	-69:21:58.20	LMC_SC14_76344	1.3683.1188
OGLE-LMC-RRLYR-03827	LMC125.1	18487	RRab	05:03:19.11	-68:18:21.90	24.3699.2813	
OGLE-LMC-RRLYR-03828	LMC124.2	10974	RRab	05:03:19.13	-67:33:24.60		
OGLE-LMC-RRLYR-03829	LMC126.4	25946	RRab	05:03:19.22	-68:29:25.90	19.3697.800	
OGLE-LMC-RRLYR-03830	LMC122.5	21611	RRab	05:03:19.30	-70:44:59.10	23.3663.499	
OGLE-LMC-RRLYR-03832	LMC124.2	30123	RRab	05:03:19.72	-67:30:02.70		
OGLE-LMC-RRLYR-03833	LMC122.5	21631	RRab	05:03:19.96	-70:52:03.00		
OGLE-LMC-RRLYR-03834	LMC122.6	19773	RRab	05:03:20.09	-70:53:56.40		
OGLE-LMC-RRLYR-03837	LMC119.6	56297	RRab	05:03:20.44	-69:09:21.60	LMC_SC14_90357	1.3687.1941
OGLE-LMC-RRLYR-03838	LMC119.6	56294	RRab	05:03:20.57	-69:08:01.50	LMC_SC14_93801	1.3687.1055
OGLE-LMC-RRLYR-03839	LMC119.7	2248	RRab	05:03:21.34	-69:22:47.90	LMC_SC14_72524	1.3683.1635
OGLE-LMC-RRLYR-03840	LMC119.7	55713	RRab	05:03:21.46	-69:18:45.10	LMC_SC14_80299	
OGLE-LMC-RRLYR-03841	LMC120.8	39167	RRab	05:03:21.56	-70:01:23.80		
OGLE-LMC-RRLYR-03842	LMC119.8	45036	RRab	05:03:21.80	-69:26:59.00	LMC_SC14_68558	
OGLE-LMC-RRLYR-03843	LMC118.7	47737	RRab	05:03:21.84	-68:43:10.00		
OGLE-LMC-RRLYR-03844	LMC120.6	9776	RRab	05:03:21.99	-69:47:13.60	10.3677.720	
OGLE-LMC-RRLYR-03845	LMC123.2	17889	RRab	05:03:22.13	-67:00:21.20	53.3719.284	
OGLE-LMC-RRLYR-03846	LMC120.5	10673	RRab	05:03:22.76	-69:37:46.60	10.3679.1017	
OGLE-LMC-RRLYR-03847	LMC126.2	67059	RRab	05:03:22.83	-68:43:02.20	LMC_SC14_121976	
OGLE-LMC-RRLYR-03848	LMC126.2	67062	RRab	05:03:22.90	-68:41:39.80	LMC_SC14_121626	
OGLE-LMC-RRLYR-03849	LMC122.8	14694	RRab	05:03:23.54	-71:13:59.90		
OGLE-LMC-RRLYR-03850	LMC119.7	2285	RRab	05:03:23.77	-69:20:41.20	LMC_SC14_76626	1.3684.1083
OGLE-LMC-RRLYR-03851	LMC124.2	34361	RRab	05:03:24.01	-67:32:11.70		
OGLE-LMC-RRLYR-03853	LMC121.8	26782	RRab	05:03:24.30	-70:38:09.50	23.3664.574	
OGLE-LMC-RRLYR-03856	LMC119.6	2304	RRab	05:03:24.62	-69:13:53.50	LMC_SC14_85004	1.3685.1263
OGLE-LMC-RRLYR-03857	LMC118.6	932	RRab	05:03:25.09	-68:37:19.10	LMC_SC14_125340	
OGLE-LMC-RRLYR-03858	LMC123.3	17448	RRab	05:03:25.28	-66:50:15.20	53.3721.377	
OGLE-LMC-RRLYR-03859	LMC122.7	16668	RRab	05:03:26.28	-71:03:53.40		
OGLE-LMC-RRLYR-03860	LMC120.8	39206	RRab	05:03:26.33	-69:59:55.20	10.3674.1079	
OGLE-LMC-RRLYR-03861	LMC120.5	10709	RRab	05:03:26.38	-69:37:59.70	10.3679.769	
OGLE-LMC-RRLYR-03862	LMC119.5	56474	RRab	05:03:26.71	-68:58:49.60	LMC_SC14_102745	1.3689.1889
OGLE-LMC-RRLYR-03863	LMC122.5	21726	RRab	05:03:26.74	-70:44:17.80	23.3663.377	
OGLE-LMC-RRLYR-03864	LMC124.3	33605	RRab	05:03:26.92	-67:19:56.50		
OGLE-LMC-RRLYR-03865	LMC125.4	17101	RRab	05:03:26.98	-67:53:53.20	24.3705.726	
OGLE-LMC-RRLYR-03866	LMC124.1	14531	RRab	05:03:27.14	-67:44:43.60	24.3708.602	
OGLE-LMC-RRLYR-03868	LMC118.6	1272	RRab	05:03:27.23	-68:39:04.00	LMC_SC14_125031	19.3694.1115
OGLE-LMC-RRLYR-03869	LMC120.7	9382	RRab	05:03:27.49	-69:59:03.60	10.3674.785	
OGLE-LMC-RRLYR-03870	LMC118.5	1002	RRab	05:03:28.05	-68:27:10.30		
OGLE-LMC-RRLYR-03871	LMC119.7	2370	RRab	05:03:28.14	-69:22:11.50	LMC_SC14_76297	1.3683.948
OGLE-LMC-RRLYR-03872	LMC118.7	48540	RRab	05:03:28.42	-68:40:51.30	LMC_SC14_121740	
OGLE-LMC-RRLYR-03873	LMC120.5	52776	RRab	05:03:28.44	-69:33:37.00		
OGLE-LMC-RRLYR-03874	LMC125.3	41795	RRab	05:03:28.46	-67:55:45.70		
OGLE-LMC-RRLYR-03875	LMC122.5	21755	RRab	05:03:28.58	-70:46:40.80	23.3662.304	
OGLE-LMC-RRLYR-03876	LMC120.5	52782	RRab	05:03:28.90	-69:34:26.30		
OGLE-LMC-RRLYR-03877	LMC121.5	15044	RRab	05:03:29.05	-70:14:33.60		
OGLE-LMC-RRLYR-03879	LMC118.8	52875	RRab	05:03:30.02	-68:49:36.00	LMC_SC14_114369	1.3692.1242
OGLE-LMC-RRLYR-03880	LMC119.6	2410	RRab	05:03:30.04	-69:13:48.00	LMC_SC14_85030	
OGLE-LMC-RRLYR-03881	LMC123.2	17974	RRab	05:03:30.11	-66:54:29.50	53.3720.388	
OGLE-LMC-RRLYR-03885	LMC122.5	21783	RRab	05:03:30.60	-70:49:50.20		
OGLE-LMC-RRLYR-03886	LMC121.5	44385	RRab	05:03:30.68	-70:12:07.40	10.3671.575	
OGLE-LMC-RRLYR-03887	LMC123.3	17523	RRab	05:03:31.03	-66:44:12.90	53.3723.351	
OGLE-LMC-RRLYR-03888	LMC121.7	11875	RRab	05:03:31.13	-70:33:18.60	23.3666.604	
OGLE-LMC-RRLYR-03889	LMC124.2	34813	RRab	05:03:31.90	-67:28:27.80		
OGLE-LMC-RRLYR-03890	LMC121.5	15103	RRab	05:03:31.91	-70:14:46.10	10.3670.269	
OGLE-LMC-RRLYR-03891	LMC118.8	52914	RRab	05:03:32.02	-68:50:33.00	LMC_SC14_114209	1.3691.1657
OGLE-LMC-RRLYR-03892	LMC118.8	52919	RRab	05:03:32.13	-68:53:02.10	LMC_SC14_110353	1.3691.1377
OGLE-LMC-RRLYR-03893	LMC118.5	32804	RRab	05:03:32.85	-68:23:31.30	19.3819.1044	
OGLE-LMC-RRLYR-03894	LMC118.8	833	RRab	05:03:33.05	-68:54:40.50	LMC_SC14_105674	
OGLE-LMC-RRLYR-03895	LMC118.6	1346	RRab	05:03:33.34	-68:36:18.50	19.3816.1232	
OGLE-LMC-RRLYR-03896	LMC118.6	1353	RRab	05:03:33.66	-68:37:34.80	LMC_SC14_124712	19.3816.1152
OGLE-LMC-RRLYR-03897	LMC119.5	66533	RRab	05:03:34.45	-68:57:27.50	LMC_SC14_105756	
OGLE-LMC-RRLYR-03898	LMC125.2	42513	RRab	05:03:34.66	-68:06:25.60		
OGLE-LMC-RRLYR-03900	LMC124.2	15354	RRab	05:03:34.96	-67:34:00.80		
OGLE-LMC-RRLYR-03901	LMC120.7	9456	RRab	05:03:35.33	-69:58:17.60	10.3795.712	
OGLE-LMC-RRLYR-03902	LMC123.3	17586	RRab	05:03:36.12	-66:43:54.30	53.3844.333	
OGLE-LMC-RRLYR-03903	LMC120.8	8736	RRab	05:03:36.38	-70:08:13.90		
OGLE-LMC-RRLYR-03904	LMC118.5	32850	RRab	05:03:36.61	-68:24:44.60	19.3819.474	
OGLE-LMC-RRLYR-03905	LMC119.6	67488	RRab	05:03:36.61	-69:07:58.00	LMC_SC14_93043	
OGLE-LMC-RRLYR-03906	LMC120.7	43813	RRab	05:03:36.65	-69:52:26.60	10.3797.605	
OGLE-LMC-RRLYR-03907	LMC120.7	43817	RRab	05:03:36.94	-69:51:10.60	10.3797.949	
