# Kepler Asteroseismic Data
# KIC number: 10874614
# Season:     Q0
# TRF:        0
# Version:    8
# Time is in truncated barycentric julian date
# Time (days), Raw Flux, Raw Flux error, Corrected Flux, Corrected Flux error
#-----------------------------------------------------------
    54954.7645894 6.82775000e+04 7.55002022e+00 7.41593438e+04 8.12890244e+00
    54954.7850237 6.82685156e+04 7.54940510e+00 7.41537344e+04 8.11323261e+00
    54954.8054581 6.82799141e+04 7.54995489e+00 7.41605234e+04 8.11675072e+00
    54954.8258924 6.82900781e+04 7.55046940e+00 7.41857109e+04 8.11498547e+00
    54954.8463268 6.82671953e+04 7.54948759e+00 7.41553906e+04 8.12055969e+00
    54954.8667612 6.82758828e+04 7.55007219e+00 7.41457734e+04 8.12035942e+00
    54954.8871955 6.82877656e+04 7.55026484e+00 7.41564766e+04 8.11817169e+00
    54954.9076299 6.82675703e+04 7.54949808e+00 7.41279766e+04 8.13377857e+00
    54954.9280643 6.82898281e+04 7.55042458e+00 7.41625547e+04 8.10957623e+00
    54954.9484985 6.82823750e+04 7.55006838e+00 7.41766953e+04 8.12986279e+00
    54954.9689330 6.82755312e+04 7.54968739e+00 7.41540625e+04 8.14768887e+00
    54954.9893673 6.82757266e+04 7.54971600e+00 7.41696719e+04 8.12308121e+00
    54955.0098016 6.82786094e+04 7.54984331e+00 7.41846562e+04 8.10994244e+00
    54955.0302361 6.82852969e+04 7.55023432e+00 7.41591875e+04 8.15211678e+00
    54955.0506704 6.82622812e+04 7.54919243e+00 7.41362812e+04 8.15067101e+00
    54955.0711048 6.82662422e+04 7.54943419e+00 7.41447109e+04 8.15117168e+00
    54955.0915391 6.82760625e+04 7.54976988e+00 7.41587812e+04 8.16036224e+00
    54955.1119735 6.82643203e+04 7.54920006e+00 7.41094531e+04 8.16157722e+00
    54955.1324079 6.82724922e+04 7.54955292e+00 7.41374453e+04 8.17317104e+00
    54955.1528421 6.82786406e+04 7.55003643e+00 7.41447969e+04 8.16306973e+00
    54955.1732766 6.82808125e+04 7.55006886e+00 7.41486641e+04 8.16577721e+00
    54955.1937110 6.82872500e+04 7.55013704e+00 7.41565469e+04 8.16342163e+00
    54955.2141452 6.82752812e+04 7.54958010e+00 7.41501094e+04 8.15690613e+00
    54955.2345796 6.82705938e+04 7.54938936e+00 7.41463906e+04 8.14615822e+00
    54955.2550141 6.82769141e+04 7.54959917e+00 7.41710859e+04 8.15001106e+00
    54955.2754483 6.82833594e+04 7.54997730e+00 7.41655625e+04 8.14922333e+00
    54955.2958827 6.82742891e+04 7.54961777e+00 7.41515781e+04 8.16203308e+00
    54955.3163172 6.82687578e+04 7.54925013e+00 7.41507031e+04 8.14197159e+00
    54955.3367514 6.82749922e+04 7.54963636e+00 7.41526172e+04 8.15298176e+00
    54955.3571858 6.82729297e+04 7.54954672e+00 7.41376484e+04 8.15502930e+00
    54955.3776201 6.82721641e+04 7.54946899e+00 7.41212969e+04 8.15652180e+00
    54955.3980546 6.82672500e+04 7.54926205e+00 7.40931172e+04 8.15755653e+00
    54955.4184889 6.82881562e+04 7.55012131e+00 7.41245547e+04 8.16100502e+00
    54955.4389232 6.82719531e+04 7.54946804e+00 7.41148750e+04 8.15273952e+00
    54955.4593577 6.82717500e+04 7.54938841e+00 7.41065312e+04 8.14986610e+00
    54955.4797920 6.82799844e+04 7.54971457e+00 7.41054609e+04 8.15467834e+00
    54955.5002263 6.82753906e+04 7.54948854e+00 7.41062500e+04 8.15177441e+00
    54955.5206606 6.82916875e+04 7.55022478e+00 7.41431406e+04 8.14907932e+00
    54955.5410951 6.82813672e+04 7.54975605e+00 7.41176406e+04 8.14528656e+00
    54955.5615294 6.82714609e+04 7.54930067e+00 7.41038203e+04 8.14218807e+00
