OGLE-LMC-RRLYR-00070	18.958	19.577	0.5354998	04:32:43.51	-69:17:28.40	0.5355
OGLE-LMC-RRLYR-00071	18.877	19.43	0.5553078	04:32:45.76	-70:07:39.10	0.5553
OGLE-LMC-RRLYR-00072	18.893	19.543	0.6261739	04:32:48.24	-70:34:40.90	0.6262
OGLE-LMC-RRLYR-00073	18.824	19.353	0.5381433	04:32:48.31	-69:22:15.00	0.5381
OGLE-LMC-RRLYR-00074	18.627	19.294	0.7916876	04:32:53.91	-69:04:49.50	0.7917
OGLE-LMC-RRLYR-00075	18.931	19.442	0.601536	04:32:56.99	-69:19:06.60	0.6015
OGLE-LMC-RRLYR-00076	18.896	19.474	0.5246702	04:32:57.11	-70:14:51.90	0.5247
OGLE-LMC-RRLYR-00079	18.941	19.511	0.5647997	04:33:04.72	-68:51:03.90	0.5648
OGLE-LMC-RRLYR-00080	18.812	19.389	0.5174803	04:33:08.44	-70:20:36.90	0.5175
OGLE-LMC-RRLYR-00081	18.763	19.345	0.6079607	04:33:10.55	-70:18:36.20	0.60796
OGLE-LMC-RRLYR-00082	18.73	19.293	0.5654482	04:33:10.93	-68:25:39.30	0.5654
OGLE-LMC-RRLYR-00083	18.877	19.422	0.5076247	04:33:11.29	-68:40:50.50	0.5076
OGLE-LMC-RRLYR-00084	18.647	19.224	0.5976897	04:33:11.40	-70:01:15.70	0.5977
OGLE-LMC-RRLYR-00086	18.71	19.257	0.567807	04:33:14.10	-69:24:50.10	0.5678
OGLE-LMC-RRLYR-00087	18.965	19.509	0.5744874	04:33:16.40	-68:02:35.30	0.5745
OGLE-LMC-RRLYR-00088	18.953	19.5	0.5006926	04:33:17.81	-69:36:26.40	0.5007
OGLE-LMC-RRLYR-00091	19.001	19.57	0.5317611	04:33:29.35	-69:49:08.40	0.5318
OGLE-LMC-RRLYR-00093	18.654	19.257	0.6502763	04:33:33.60	-68:09:58.00	0.6503
OGLE-LMC-RRLYR-00094	18.727	19.251	0.5251893	04:33:34.69	-67:46:33.90	0.5252
OGLE-LMC-RRLYR-00098	18.884	19.414	0.5399827	04:33:44.10	-68:31:18.60	0.54
OGLE-LMC-RRLYR-00099	18.905	19.428	0.5570781	04:33:44.80	-68:51:45.60	0.5571
OGLE-LMC-RRLYR-00101	18.669	19.308	0.5689502	04:33:46.24	-68:57:58.90	0.5689
OGLE-LMC-RRLYR-00102	18.869	-	0.5252582	04:33:46.31	-69:05:54.60	0.52526
OGLE-LMC-RRLYR-00103	18.914	19.598	0.6181728	04:33:47.59	-69:57:09.10	0.6182
OGLE-LMC-RRLYR-00104	18.595	19.236	0.7625617	04:33:53.52	-68:48:59.70	0.7626
OGLE-LMC-RRLYR-00105	18.612	19.222	0.6419806	04:33:54.62	-69:26:02.20	0.642
OGLE-LMC-RRLYR-00107	18.955	-	0.5105364	04:33:57.67	-69:14:55.50	0.5045
OGLE-LMC-RRLYR-00108	18.882	19.53	0.614117	04:33:58.08	-68:18:13.50	0.6141
OGLE-LMC-RRLYR-00109	18.803	19.391	0.5230702	04:34:01.53	-68:53:33.20	0.5231
OGLE-LMC-RRLYR-00110	18.707	19.274	0.6269115	04:34:02.40	-67:44:52.20	0.6269
OGLE-LMC-RRLYR-00111	18.812	19.39	0.4844845	04:34:03.69	-68:10:24.40	0.4845
OGLE-LMC-RRLYR-00112	18.995	19.554	0.5835987	04:34:05.23	-69:15:42.00	0.5836
OGLE-LMC-RRLYR-00113	18.831	19.318	0.489805	04:34:05.32	-69:24:54.20	0.4898
OGLE-LMC-RRLYR-00114	18.835	19.459	0.617748	04:34:07.20	-68:48:19.20	0.6178
OGLE-LMC-RRLYR-00115	19.2	19.77	0.4282732	04:34:11.76	-68:59:02.30	0.42827
OGLE-LMC-RRLYR-00116	18.794	19.436	0.6449662	04:34:14.74	-69:47:06.80	0.645
OGLE-LMC-RRLYR-00118	18.664	19.28	0.5758725	04:34:19.00	-69:50:47.40	0.5759
OGLE-LMC-RRLYR-00120	18.866	19.468	0.5974786	04:34:25.06	-67:47:33.30	0.5975
OGLE-LMC-RRLYR-00121	18.643	19.191	0.5652382	04:34:25.07	-69:08:06.90	0.5652
OGLE-LMC-RRLYR-00122	18.931	19.636	0.6073811	04:34:25.33	-70:28:40.80	0.6074
OGLE-LMC-RRLYR-00123	18.793	19.269	0.5005976	04:34:27.06	-67:59:38.80	0.5006
OGLE-LMC-RRLYR-00124	18.637	19.26	0.7034893	04:34:27.73	-69:44:23.40	0.7035
OGLE-LMC-RRLYR-00125	19.029	19.61	0.4345607	04:34:28.00	-67:33:52.60	0.43456
OGLE-LMC-RRLYR-00129	18.931	19.581	0.5779612	04:34:34.74	-68:27:21.70	0.578
